filepath,emotion_code,emotion,actor,gender
/content/drive/MyDrive/audio_dataset/spectrograms_final1/Actor_23_03-01-05-01-02-01-23_speech.png,05,angry,23,male
/content/drive/MyDrive/audio_dataset/spectrograms_final1/Actor_23_03-01-05-01-01-01-23_speech.png,05,angry,23,male
/content/drive/MyDrive/audio_dataset/spectrograms_final1/Actor_23_03-01-03-02-01-02-23_speech.png,03,happy,23,male
/content/drive/MyDrive/audio_dataset/spectrograms_final1/Actor_23_03-01-04-01-01-02-23_speech.png,04,sad,23,male
/content/drive/MyDrive/audio_dataset/spectrograms_final1/Actor_23_03-01-02-01-01-02-23_speech.png,02,calm,23,male
/content/drive/MyDrive/audio_dataset/spectrograms_final1/Actor_23_03-01-02-02-01-01-23_speech.png,02,calm,23,male
/content/drive/MyDrive/audio_dataset/spectrograms_final1/Actor_23_03-01-03-02-02-01-23_speech.png,03,happy,23,male
/content/drive/MyDrive/audio_dataset/spectrograms_final1/Actor_23_03-01-01-01-01-02-23_speech.png,01,neutral,23,male
/content/drive/MyDrive/audio_dataset/spectrograms_final1/Actor_23_03-01-02-01-02-02-23_speech.png,02,calm,23,male
/content/drive/MyDrive/audio_dataset/spectrograms_final1/Actor_23_03-01-02-02-02-02-23_speech.png,02,calm,23,male
/content/drive/MyDrive/audio_dataset/spectrograms_final1/Actor_23_03-01-05-02-02-01-23_speech.png,05,angry,23,male
/content/drive/MyDrive/audio_dataset/spectrograms_final1/Actor_23_03-01-01-01-02-01-23_speech.png,01,neutral,23,male
/content/drive/MyDrive/audio_dataset/spectrograms_final1/Actor_23_03-01-05-02-02-02-23_speech.png,05,angry,23,male
/content/drive/MyDrive/audio_dataset/spectrograms_final1/Actor_23_03-01-04-02-01-01-23_speech.png,04,sad,23,male
/content/drive/MyDrive/audio_dataset/spectrograms_final1/Actor_23_03-01-04-02-01-02-23_speech.png,04,sad,23,male
/content/drive/MyDrive/audio_dataset/spectrograms_final1/Actor_23_03-01-03-01-02-01-23_speech.png,03,happy,23,male
/content/drive/MyDrive/audio_dataset/spectrograms_final1/Actor_23_03-01-08-01-02-01-23_speech.png,08,surprised,23,male
/content/drive/MyDrive/audio_dataset/spectrograms_final1/Actor_23_03-01-08-01-02-02-23_speech.png,08,surprised,23,male
/content/drive/MyDrive/audio_dataset/spectrograms_final1/Actor_23_03-01-06-01-01-02-23_speech.png,06,fearful,23,male
/content/drive/MyDrive/audio_dataset/spectrograms_final1/Actor_23_03-01-08-01-01-02-23_speech.png,08,surprised,23,male
/content/drive/MyDrive/audio_dataset/spectrograms_final1/Actor_23_03-01-07-02-02-01-23_speech.png,07,disgust,23,male
/content/drive/MyDrive/audio_dataset/spectrograms_final1/Actor_23_03-01-06-01-01-01-23_speech.png,06,fearful,23,male
/content/drive/MyDrive/audio_dataset/spectrograms_final1/Actor_23_03-01-07-01-02-02-23_speech.png,07,disgust,23,male
/content/drive/MyDrive/audio_dataset/spectrograms_final1/Actor_23_03-01-06-02-01-01-23_speech.png,06,fearful,23,male
/content/drive/MyDrive/audio_dataset/spectrograms_final1/Actor_23_03-01-07-01-01-01-23_speech.png,07,disgust,23,male
/content/drive/MyDrive/audio_dataset/spectrograms_final1/Actor_23_03-01-08-02-01-02-23_speech.png,08,surprised,23,male
/content/drive/MyDrive/audio_dataset/spectrograms_final1/Actor_23_03-01-06-01-02-01-23_speech.png,06,fearful,23,male
